Newspaper,Date,Headline ,Content ,Human Summary,Genre
The Tribune,"January 11, 2006","""AMU not a minority institution: HC""",Allahabad High Court rules that Aligarh Muslim University (AMU) is not a minority institution.,"Allahabad High Court declares AMU as a non-minority institution, stirring controversy.",Legal and Education
The Tribune,"January 11, 2006","""Dense fog hits rail, air services""","Dense fog affects railway and air services, causing disruptions in transportation.","Widespread dense fog impacts railway and air services, causing inconvenience to travelers.",Weather and Transportation
The Tribune,"January 11, 2006","""Top LeT militant held for IISc attack""",A top Lashkar-e-Taiba (LeT) militant is apprehended in connection with the attack on the Indian Institute of Science (IISc) in Bangalore.,"Key LeT militant arrested for involvement in the IISc attack, significant breakthrough in the investigation.",Security and Terrorism
The Tribune,"January 11, 2006","""Manmohan’s New Year resolutions""",Prime Minister Manmohan Singh outlines his resolutions for the New Year.,"PM Manmohan Singh shares his New Year resolutions, offering insights into his priorities.",Politics and Personal
The Tribune,"January 11, 2006","""SAFTA takes effect""","South Asian Free Trade Area (SAFTA) comes into effect, aiming to boost economic cooperation among South Asian countries.","SAFTA implementation begins, fostering economic collaboration among South Asian nations.",Economics and International Relations
The Tribune,"January 11, 2006","""Advani quits, it’s over to GenNext""","Senior BJP leader L.K. Advani resigns, signaling a transition to the next generation of party leaders.","L.K. Advani steps down, paving the way for the younger generation of leaders in the BJP.",Politics and Leadership
The Tribune,"June 13, 2006","""Terror in Jammu, Anantnag""","Terrorists attack Jammu bus stand, killing one and injuring 31 in grenade blasts targeting Vaishnodevi shrine-bound buses.","Terrorists strike at Jammu bus stand, causing casualties and spreading panic.",Security and Terrorism
The Tribune,"June 13, 2006","""India opposes cap on N-tests as talks begin""",India opposes a cap on nuclear tests as talks with the USA on the operational modalities of the nuclear energy agreement commence.,India resists limitations on nuclear tests during discussions with the USA on a nuclear energy agreement.,International Relations
The Tribune,"June 13, 2006","""Girl married off despite HC order""","Despite a High Court order, an inter-caste marriage in Bhiwani village proceeds, adding complexity to the controversy.","Controversial inter-caste marriage proceeds, defying High Court order, raising social and legal concerns.",Legal and Social
The Tribune,"June 13, 2006","""SC seeks govt response on pro-quota stir""","The Supreme Court seeks the government's response on the continuation of pro-reservation demonstrations, questioning a possible contempt of court.","Supreme Court demands government clarification on ongoing pro-reservation protests, emphasizing court orders.",Legal and Politics
The Tribune,"June 13, 2006","""Office of Profit Bill to be tabled in same form""",UPA government plans to reintroduce the Office of Profit Bill in Parliament during the upcoming Monsoon session.,"UPA government persists in reintroducing the Office of Profit Bill without alterations, indicating determination.",Politics
The Tribune,"June 13, 2006","""Six to die for murder""","Six individuals sentenced to death in Nashik for a three-year-old case of gruesome murder, where five members of a family were killed.",Death penalty for six individuals in Nashik murder case involving the killing of five family members.,Legal and Crime
The Tribune,"June 13, 2006","""SC rejects pleas against ‘The Da Vinci Code’""","The Supreme Court dismisses PIL petitions seeking a ban on the Hollywood movie 'The Da Vinci Code,' rejecting concerns about hurting Christian sentiments.","Supreme Court rejects PILs against 'The Da Vinci Code,' maintaining the freedom of expression.",Legal and Entertainment
The Tribune,"February 13, 2007","""PUNJAB VOTES ’07: 72% outpour beats weather""","Despite inclement weather, including rain and chilly winds, Punjab witnesses a record and peaceful turnout for Assembly and Lok Sabha seats.","Punjab voters defy weather challenges, showing strong support for democracy with a record turnout.",Election and Politics
The Tribune,"February 13, 2007","""Hoarse Power: So, who will make it?""",Political leaders Amarinder Singh and Parkash Singh Badal express confidence in their respective parties forming the government in Punjab.,"Amarinder Singh and Parkash Singh Badal optimistic about their parties' chances in forming the government, gauging voter pulse.",Election and Politics
The Tribune,"February 13, 2007","""Voters defy rain; 74 pc turnout in Banur, Rajpura""","Despite rain and cold weather, voters defy the odds, with a 74% turnout in Banur and Rajpura.",Banur and Rajpura witness a commendable 74% voter turnout despite adverse weather conditions.,Election and Weather
The Tribune,"February 13, 2007","""Gill asks PM to help UK Indian docs""",Congress MP M S Gill urges Prime Minister Manmohan Singh to address the issue of Indian doctors facing challenges in the UK due to a new law.,M S Gill seeks assistance from Prime Minister for Indian doctors facing difficulties in the UK.,Health and Politics
The Tribune,"February 13, 2007","""China to support Indian bid for 2014 Asian Games""","China pledges support for India's bid to host the 2014 Asian Games, indicating positive developments in Sino-Indian ties.","Positive developments as China supports India's bid to host the 2014 Asian Games, fostering better Sino-Indian relations.",International Relations and Sports
The Tribune,"February 13, 2007","""N Korea to dismantle N-plans in return for energy aid""","North Korea agrees to dismantle its nuclear program in exchange for energy aid, a significant step towards a nuclear-free Korean Peninsula.",Diplomatic breakthrough as North Korea agrees to dismantle its nuclear program in exchange for energy aid.,International Relations
The Tribune,"February 13, 2007","""MP Jindal bang on target""","Naveen Jindal, Congress MP and scion of Jindal Group, creates history by winning a medal in the National Games, showcasing his sporting prowess.",Naveen Jindal makes history by becoming the first Parliamentarian to win a medal in the National Games.,Sports and Achievements
The Tribune,"February 13, 2007","""His special Japanese Valentine""","Congress MP Naveen Jindal celebrates a unique Valentine's Day with a special Japanese Valentine, adding a personal touch to the occasion.",Naveen Jindal's distinctive Valentine's Day celebration with a special Japanese touch.,Lifestyle and Celebration
The Tribune,"February 13, 2007","""SHOOTING UP: Oh dear, after dal, it is vegetables""","Excessive rain causes concern for farmers as it leads to vegetable abundance, shifting the worries from scarcity to plenty.","Farmers face concerns over abundant vegetables due to excessive rain, changing the dynamics from scarcity to surplus.",Agriculture and Wea
The Economic Times,"February 13, 2007","""Market Soars Despite Global Concerns""","Despite global economic concerns, the Indian stock market experiences a significant surge, showcasing resilience.","Indian stock market defies global economic concerns, witnessing a substantial surge and displaying resilience.",Finance and Economy
The Economic Times,"February 13, 2007","""Tech Giants Collaborate on Space Exploration""",Leading technology companies join forces to explore advancements in space technology for future projects.,"Tech giants form collaboration for space exploration, aiming for innovations in space technology.",Technology and Space Exploration
The Economic Times,"February 13, 2007","""Government Initiates Cybersecurity Panel""",The government takes steps to strengthen cyberspace monitoring by initiating a cybersecurity panel to address emerging challenges.,"Government proactively addresses cybersecurity challenges, setting up a dedicated panel for enhanced cyberspace monitoring.",Technology and Governance
The Economic Times,"February 13, 2007","""GST Proposal to Move Forward""",The Finance Ministry prepares to present the formal Goods and Services Tax (GST) proposal in the upcoming cabinet meeting.,Finance Ministry gears up to move forward with the formal Goods and Services Tax (GST) proposal in the next cabinet meeting.,Finance and Governance
The Economic Times,"February 13, 2007","""RBI Takes Measures to Control Inflation""",The Reserve Bank of India (RBI) announces an increase in the Cash Reserve Ratio (CRR) by 0.5% to rein in rising prices.,RBI implements measures to control inflation by raising the Cash Reserve Ratio (CRR) by 0.5%.,Finance and Economy
The Economic Times,"February 13, 2007","""India Opposes Cap on Nuclear Tests""",India opposes the imposition of a cap on nuclear tests as discussions on peaceful nuclear energy usage with the USA commence.,India expresses opposition to a cap on nuclear tests during discussions on peaceful nuclear energy cooperation with the USA.,International Relations and Nuclear Policy
The Economic Times,"February 13, 2007","""IBM and Apple Forge Strategic Partnership in India""","IBM and Apple announce a strategic partnership to equip and market Apple devices in India, enhancing their presence in the market.","IBM and Apple join forces in a strategic partnership to market and equip Apple devices, strengthening their presence in India.",Business and Technology
The Economic Times,"February 13, 2007","""Gold Rebounds Amidst Market Volatility""","Gold prices rebound following the year's biggest drop, driven by increased demand for safe-haven assets amidst market volatility.","Gold prices show resilience, rebounding from the year's significant drop due to heightened demand for safe-haven assets amid market volatility.",Finance and Markets
The Economic Times,"February 13, 2007","""TaxiForSure Faces Raids in Bengaluru""","Offices of TaxiForSure undergo raids in Bengaluru, as regulatory authorities investigate potential violations.",TaxiForSure faces regulatory scrutiny with raids conducted at its offices in Bengaluru.,Business and Regulation
The Economic Times,"February 13, 2007","""Bata Aims for $1 Billion Revenue""","Bata sets ambitious revenue target, aiming to achieve $1 billion in the next 3-4 years, signaling confidence in growth prospects.","Bata sets ambitious revenue goal, targeting $1 billion in the next 3-4 years, showcasing confidence in its growth trajectory.",Business and Finance
